14:34:00, ACTIVE, 0.5009, 0.5029, 0.0017
14:34:00, ACTIVE, 0.5017, 0.5057, 0.0017
14:34:00, ACTIVE, 0.5024, 0.5085, 0.0016
14:34:00, ACTIVE, 0.5029, 0.5111, 0.0023
14:34:00, ACTIVE, 0.5033, 0.5135, 0.0028
14:34:00, ACTIVE, 0.5037, 0.5159, 0.0021
14:34:00, ACTIVE, 0.5040, 0.5181, 0.0023
14:34:00, ACTIVE, 0.5043, 0.5203, 0.0023
14:34:00, ACTIVE, 0.5046, 0.5223, 0.0022
14:34:00, ACTIVE, 0.5048, 0.5242, 0.0040
14:34:00, ACTIVE, 0.5049, 0.5259, 0.0031
14:34:00, ACTIVE, 0.5051, 0.5276, 0.0022
14:34:00, ACTIVE, 0.5052, 0.5290, 0.0022
14:34:00, ACTIVE, 0.5053, 0.5301, 0.0021
14:34:00, ACTIVE, 0.5054, 0.5305, 0.0028
14:34:00, ACTIVE, 0.5054, 0.5305, 0.0023
14:34:00, ACTIVE, 0.5054, 0.5305, 0.0027
14:34:00, ACTIVE, 0.5054, 0.5305, 0.0008
14:34:00, ACTIVE, 0.5054, 0.5305, 0.0021
14:34:00, ACTIVE, 0.5054, 0.5305, 0.0021
14:34:00, ACTIVE, 0.5054, 0.5305, 0.0026
14:34:00, ACTIVE, 0.5054, 0.5305, 0.0037
14:34:00, ACTIVE, 0.5054, 0.5305, 0.0015
14:34:00, ACTIVE, 0.5054, 0.5305, 0.0023
14:34:00, ACTIVE, 0.5054, 0.5305, 0.0027
14:34:00, ACTIVE, 0.5054, 0.5305, 0.0027
14:34:00, ACTIVE, 0.5054, 0.5305, 0.0032
14:34:01, ACTIVE, 0.5054, 0.5305, 0.0040
14:34:01, ACTIVE, 0.5054, 0.5305, 0.0034
14:34:01, ACTIVE, 0.5054, 0.5305, 0.0039
14:34:01, ACTIVE, 0.5054, 0.5305, 0.0033
14:34:01, ACTIVE, 0.5054, 0.5305, 0.0027
14:34:01, ACTIVE, 0.5050, 0.5306, 0.0027
14:34:01, ACTIVE, 0.5039, 0.5307, 0.0029
14:34:01, ACTIVE, 0.5022, 0.5309, 0.0026
14:34:01, ACTIVE, 0.4994, 0.5311, 0.0024
14:34:01, ACTIVE, 0.4953, 0.5315, 0.0024
14:34:01, ACTIVE, 0.4903, 0.5321, 0.0021
14:34:01, ACTIVE, 0.4845, 0.5328, 0.0025
14:34:01, ACTIVE, 0.4776, 0.5337, 0.0023
14:34:01, ACTIVE, 0.4702, 0.5349, 0.0012
14:34:01, ACTIVE, 0.4625, 0.5361, 0.0027
14:34:01, ACTIVE, 0.4547, 0.5375, 0.0027
14:34:01, ACTIVE, 0.4467, 0.5387, 0.0032
14:34:01, ACTIVE, 0.4387, 0.5400, 0.0031
14:34:01, ACTIVE, 0.4307, 0.5414, 0.0031
14:34:01, ACTIVE, 0.4225, 0.5429, 0.0025
14:34:01, ACTIVE, 0.4142, 0.5445, 0.0026
14:34:01, ACTIVE, 0.4062, 0.5461, 0.0026
14:34:01, ACTIVE, 0.3981, 0.5477, 0.0029
14:34:01, ACTIVE, 0.3895, 0.5498, 0.0027
14:34:01, ACTIVE, 0.3810, 0.5519, 0.0021
14:34:01, ACTIVE, 0.3725, 0.5541, 0.0027
14:34:01, ACTIVE, 0.3639, 0.5564, 0.0021
14:34:01, ACTIVE, 0.3552, 0.5587, 0.0031
14:34:01, ACTIVE, 0.3466, 0.5610, 0.0017
14:34:01, ACTIVE, 0.3380, 0.5636, 0.0030
14:34:02, ACTIVE, 0.3295, 0.5660, 0.0027
14:34:02, ACTIVE, 0.3211, 0.5683, 0.0027
14:34:02, ACTIVE, 0.3127, 0.5708, 0.0017
14:34:02, ACTIVE, 0.3043, 0.5733, 0.0024
14:34:02, ACTIVE, 0.2958, 0.5759, 0.0027
14:34:02, ACTIVE, 0.2871, 0.5786, 0.0021
14:34:02, ACTIVE, 0.2783, 0.5810, 0.0020
14:34:02, ACTIVE, 0.2691, 0.5837, 0.0029
14:34:02, ACTIVE, 0.2600, 0.5865, 0.0024
14:34:02, ACTIVE, 0.2507, 0.5894, 0.0025
14:34:02, ACTIVE, 0.2411, 0.5925, 0.0032
14:34:02, ACTIVE, 0.2315, 0.5956, 0.0027
14:34:02, ACTIVE, 0.2218, 0.5990, 0.0023
14:34:02, ACTIVE, 0.2120, 0.6025, 0.0023
14:34:02, ACTIVE, 0.2019, 0.6063, 0.0028
14:34:02, ACTIVE, 0.1921, 0.6099, 0.0022
14:34:02, ACTIVE, 0.1824, 0.6138, 0.0029
14:34:02, ACTIVE, 0.1731, 0.6183, 0.0025
14:34:02, ACTIVE, 0.1640, 0.6230, 0.0025
14:34:02, ACTIVE, 0.1551, 0.6276, 0.0015
14:34:02, ACTIVE, 0.1463, 0.6325, 0.0034
14:34:02, ACTIVE, 0.1378, 0.6373, 0.0037
